7~時,56
たばこ/たばこ,40
とても/とても,29
やや/やや,76
サレ/され,72
パーティー/ぱーてぃー,25
マフィア/まふぃあ,66
ミニ/みに,23
レバ/れば,60
両/りょう,18
二~重~スパイ,70
交渉/こうしょう,49
仕手/して,55
共生/きょうせい,38
出会う/であう/ガニ,12
出歩く/であるく/ガヲ,78
切る,37
列車/れっしゃ,57
制圧/せいあつ,71
前途/ぜんと,30
午後/ごご,28
単独/たんどく,73
厳格/げんかく,16
及ぶ/およぶ/ガニ,48
取れる/とれる/ガニト,20
台/だい,36
叶う/かなう/ガ,27
噛む/かむ/ガヲニ,41
囚人/しゅうじん,51
因む/ちなむ/ガニ,22
多用/たよう,11
妻帯~者,74
始る/始る/ガ,32
始末/しまつ,68
学/がく,65
容赦/ようしゃ,8
小/しょう,35
強いる/しいる/ガ,3
彼~ら,33
必要/ひつよう,4
性/せい,5
情報~提供~者,67
惨め/みじめ,53
意/い,19
慕う/したう/ガ,69
戦う/たたかう/ガヲニト,46
断固/だんこ,0
時間/じかん,7
暮らす/くらす/ガヲニト,54
最初/さいしょ,62
最後/さいご,6
有望/ゆうぼう,31
木/き,34
正/せい,50
決心/けっしん,2
確実/かくじつ,9
私/わたし,24
称賛/しょうさん,21
立場/たちば,15
罠/わな,59
芸術~家,61
菌性~担胞子~体,39
行く/いく/ガニ,26
要求/ようきゅう,17
親/おや,14
討論/とうろん,45
訪れる/おとずれる/ガヲニ,10
議論/ぎろん,43
踊/おどり,79
迫害/はくがい,13
適切/てきせつ,77
長/ちょう,44
長引く/ながびく/ガ,42
長期/ちょうき,47
間~地下~牢,52
間に合う/まにあう/ガニ,58
食事/しょくじ,75
＃コトダ,64
＃テミル,63
＃様態,1
